run_id,timestamp,provider,model,temperature,mode,representation,input_type,sentence_id,artifact_id,variant_id,dimension_id,prompt_id,prompt_hash,input_hash,raw_response,parsed_response,parse_error
run_20260116_144444,2026-01-16T14:44:44.833724,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,urgent,urgent,d0d4dbc75051cf1a,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:44:46.763045,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,immediate_action,immediate_action,edc568a61b6b5275,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:44:48.837514,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,formal,formal,7c6bd4b52f04b5a3,055eee68ad3d5e76,Yes,1,
run_20260116_144444,2026-01-16T14:44:50.678419,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,trustworthy,trustworthy,9254c7de066d9636,055eee68ad3d5e76,Yes,1,
run_20260116_144444,2026-01-16T14:44:52.464756,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,persuasive,persuasive,2cfc17c644782412,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:44:54.382803,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,emotional,emotional,422641cfc10368e8,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:44:56.312373,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,professional,professional,1a0e46d7e56e95a5,055eee68ad3d5e76,Yes,1,
run_20260116_144444,2026-01-16T14:44:57.951368,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,high_risk,high_risk,f87d239bea2bd939,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:45:00.047933,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,confident,confident,b18088e71f9b1477,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:45:01.901185,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,1,,__ocr__,form_dependent,form_dependent,5eff354c4f7e586d,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:45:03.782115,anthropic,claude-sonnet-4-20250514,0.0,decision,ocr,sentence,1,,__ocr__,,escalation_v1,511e6a35fc9cbd39,055eee68ad3d5e76,No,0,
run_20260116_144444,2026-01-16T14:45:05.733948,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,urgent,urgent,d0d4dbc75051cf1a,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:07.765655,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,immediate_action,immediate_action,edc568a61b6b5275,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:10.342411,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,formal,formal,7c6bd4b52f04b5a3,cc718fcb260c6cfb,Yes,1,
run_20260116_144444,2026-01-16T14:45:12.325158,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,trustworthy,trustworthy,9254c7de066d9636,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:14.225187,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,persuasive,persuasive,2cfc17c644782412,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:16.482867,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,emotional,emotional,422641cfc10368e8,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:18.371216,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,professional,professional,1a0e46d7e56e95a5,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:20.695758,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,high_risk,high_risk,f87d239bea2bd939,cc718fcb260c6cfb,Yes,1,
run_20260116_144444,2026-01-16T14:45:22.732347,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,confident,confident,b18088e71f9b1477,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:24.574716,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,2,,__ocr__,form_dependent,form_dependent,5eff354c4f7e586d,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:26.518366,anthropic,claude-sonnet-4-20250514,0.0,decision,ocr,sentence,2,,__ocr__,,escalation_v1,511e6a35fc9cbd39,cc718fcb260c6cfb,No,0,
run_20260116_144444,2026-01-16T14:45:29.185138,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,urgent,urgent,d0d4dbc75051cf1a,630d0cab233dc791,No,0,
run_20260116_144444,2026-01-16T14:45:31.213973,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,immediate_action,immediate_action,edc568a61b6b5275,630d0cab233dc791,No,0,
run_20260116_144444,2026-01-16T14:45:33.073943,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,formal,formal,7c6bd4b52f04b5a3,630d0cab233dc791,Yes,1,
run_20260116_144444,2026-01-16T14:45:35.222206,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,trustworthy,trustworthy,9254c7de066d9636,630d0cab233dc791,No,0,
run_20260116_144444,2026-01-16T14:45:37.218130,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,persuasive,persuasive,2cfc17c644782412,630d0cab233dc791,Yes,1,
run_20260116_144444,2026-01-16T14:45:39.138613,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,emotional,emotional,422641cfc10368e8,630d0cab233dc791,No,0,
run_20260116_144444,2026-01-16T14:45:41.511183,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,professional,professional,1a0e46d7e56e95a5,630d0cab233dc791,No,0,
run_20260116_144444,2026-01-16T14:45:43.467893,anthropic,claude-sonnet-4-20250514,0.0,dimensions,ocr,sentence,3,,__ocr__,high_risk,high_risk,f87d239bea2bd939,630d0cab233dc791,Yes,1,
