run_id,provider,model,variant_id,flip_direction,count,rate
run_20260116_144444,anthropic,claude-sonnet-4-20250514,A1_opendyslexic_regular,NO→YES,8,0.1568627450980392
run_20260116_144444,anthropic,claude-sonnet-4-20250514,A1_opendyslexic_regular,YES→NO,43,0.8431372549019608
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T1_times_regular,NO→YES,8,0.1568627450980392
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T1_times_regular,YES→NO,43,0.8431372549019608
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T2_times_bold,NO→YES,11,0.2
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T2_times_bold,YES→NO,44,0.8
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T3_arial_regular,NO→YES,10,0.18181818181818182
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T3_arial_regular,YES→NO,45,0.8181818181818182
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T4_arial_bold,NO→YES,11,0.21153846153846154
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T4_arial_bold,YES→NO,41,0.7884615384615384
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T5_arial_all_caps,NO→YES,44,0.5057471264367817
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T5_arial_all_caps,YES→NO,43,0.4942528735632184
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T6_monospace,NO→YES,11,0.19642857142857142
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T6_monospace,YES→NO,45,0.8035714285714286
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T7_comic,NO→YES,10,0.1694915254237288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T7_comic,YES→NO,49,0.8305084745762712
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T8_small_text,YES→NO,3,1.0
run_20260117_164819,google,models/gemini-2.0-flash,A1_opendyslexic_regular,NO→YES,28,0.3888888888888889
run_20260117_164819,google,models/gemini-2.0-flash,A1_opendyslexic_regular,YES→NO,44,0.6111111111111112
run_20260117_164819,google,models/gemini-2.0-flash,T1_times_regular,NO→YES,29,0.5087719298245614
run_20260117_164819,google,models/gemini-2.0-flash,T1_times_regular,YES→NO,28,0.49122807017543857
run_20260117_164819,google,models/gemini-2.0-flash,T2_times_bold,NO→YES,36,0.6
run_20260117_164819,google,models/gemini-2.0-flash,T2_times_bold,YES→NO,24,0.4
run_20260117_164819,google,models/gemini-2.0-flash,T3_arial_regular,NO→YES,32,0.5161290322580645
run_20260117_164819,google,models/gemini-2.0-flash,T3_arial_regular,YES→NO,30,0.4838709677419355
run_20260117_164819,google,models/gemini-2.0-flash,T4_arial_bold,NO→YES,30,0.5172413793103449
run_20260117_164819,google,models/gemini-2.0-flash,T4_arial_bold,YES→NO,28,0.4827586206896552
run_20260117_164819,google,models/gemini-2.0-flash,T5_arial_all_caps,NO→YES,39,0.65
run_20260117_164819,google,models/gemini-2.0-flash,T5_arial_all_caps,YES→NO,21,0.35
run_20260117_164819,google,models/gemini-2.0-flash,T6_monospace,NO→YES,28,0.5
run_20260117_164819,google,models/gemini-2.0-flash,T6_monospace,YES→NO,28,0.5
run_20260117_164819,google,models/gemini-2.0-flash,T7_comic,NO→YES,31,0.37349397590361444
run_20260117_164819,google,models/gemini-2.0-flash,T7_comic,YES→NO,52,0.6265060240963856
run_20260117_164819,google,models/gemini-2.0-flash,T8_small_text,NO→YES,26,0.5
run_20260117_164819,google,models/gemini-2.0-flash,T8_small_text,YES→NO,26,0.5
run_20260115_222423,openai,gpt-4o,A1_opendyslexic_regular,NO→YES,12,0.11009174311926606
run_20260115_222423,openai,gpt-4o,A1_opendyslexic_regular,YES→NO,97,0.8899082568807339
run_20260115_222423,openai,gpt-4o,T1_times_regular,NO→YES,13,0.16455696202531644
run_20260115_222423,openai,gpt-4o,T1_times_regular,YES→NO,66,0.8354430379746836
run_20260115_222423,openai,gpt-4o,T2_times_bold,NO→YES,11,0.13924050632911392
run_20260115_222423,openai,gpt-4o,T2_times_bold,YES→NO,68,0.8607594936708861
run_20260115_222423,openai,gpt-4o,T3_arial_regular,NO→YES,10,0.12658227848101267
run_20260115_222423,openai,gpt-4o,T3_arial_regular,YES→NO,69,0.8734177215189873
run_20260115_222423,openai,gpt-4o,T4_arial_bold,NO→YES,13,0.15476190476190477
run_20260115_222423,openai,gpt-4o,T4_arial_bold,YES→NO,71,0.8452380952380952
run_20260115_222423,openai,gpt-4o,T5_arial_all_caps,NO→YES,16,0.1839080459770115
run_20260115_222423,openai,gpt-4o,T5_arial_all_caps,YES→NO,71,0.8160919540229885
run_20260115_222423,openai,gpt-4o,T6_monospace,NO→YES,9,0.1111111111111111
run_20260115_222423,openai,gpt-4o,T6_monospace,YES→NO,72,0.8888888888888888
run_20260115_222423,openai,gpt-4o,T7_comic,NO→YES,12,0.12
run_20260115_222423,openai,gpt-4o,T7_comic,YES→NO,88,0.88
run_20260115_222423,openai,gpt-4o,T8_small_text,NO→YES,13,0.16666666666666666
run_20260115_222423,openai,gpt-4o,T8_small_text,YES→NO,65,0.8333333333333334
