run_id,provider,model,dimension_id,flip_rate,n
run_20260115_222423,openai,gpt-4o,trustworthy,0.4722222222222222,324
run_20260115_222423,openai,gpt-4o,high_risk,0.43343653250773995,323
run_20260115_222423,openai,gpt-4o,confident,0.35185185185185186,324
run_20260115_222423,openai,gpt-4o,professional,0.30340557275541796,323
run_20260115_222423,openai,gpt-4o,formal,0.2716049382716049,324
run_20260115_222423,openai,gpt-4o,persuasive,0.1728395061728395,324
run_20260115_222423,openai,gpt-4o,immediate_action,0.14506172839506173,324
run_20260115_222423,openai,gpt-4o,urgent,0.027777777777777776,324
run_20260115_222423,openai,gpt-4o,emotional,0.009259259259259259,324
run_20260115_222423,openai,gpt-4o,form_dependent,0.0,324
run_20260116_144444,anthropic,claude-sonnet-4-20250514,trustworthy,0.5532646048109966,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,high_risk,0.436426116838488,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,persuasive,0.13058419243986255,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,professional,0.13058419243986255,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,urgent,0.12371134020618557,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,confident,0.08247422680412371,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,immediate_action,0.08247422680412371,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,emotional,0.024054982817869417,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,form_dependent,0.0,291
run_20260116_144444,anthropic,claude-sonnet-4-20250514,formal,0.0,291
run_20260117_164819,google,models/gemini-2.0-flash,trustworthy,0.48148148148148145,324
run_20260117_164819,google,models/gemini-2.0-flash,confident,0.2808641975308642,324
run_20260117_164819,google,models/gemini-2.0-flash,formal,0.19444444444444445,324
run_20260117_164819,google,models/gemini-2.0-flash,professional,0.17901234567901234,324
run_20260117_164819,google,models/gemini-2.0-flash,persuasive,0.1697530864197531,324
run_20260117_164819,google,models/gemini-2.0-flash,immediate_action,0.1419753086419753,324
run_20260117_164819,google,models/gemini-2.0-flash,high_risk,0.10802469135802469,324
run_20260117_164819,google,models/gemini-2.0-flash,urgent,0.033950617283950615,324
run_20260117_164819,google,models/gemini-2.0-flash,form_dependent,0.027777777777777776,324
run_20260117_164819,google,models/gemini-2.0-flash,emotional,0.0,324
