run_id,provider,model,variant_id,flip_rate,n
run_20260115_222423,openai,gpt-4o-mini,A1_opendyslexic_regular,0.2759493670886076,395
run_20260115_222423,openai,gpt-4o-mini,T7_comic,0.25252525252525254,396
run_20260115_222423,openai,gpt-4o-mini,T5_arial_all_caps,0.2196969696969697,396
run_20260115_222423,openai,gpt-4o-mini,T4_arial_bold,0.20707070707070707,396
run_20260115_222423,openai,gpt-4o-mini,T6_monospace,0.1994949494949495,396
run_20260115_222423,openai,gpt-4o-mini,T1_times_regular,0.1949367088607595,395
run_20260115_222423,openai,gpt-4o-mini,T3_arial_regular,0.19444444444444445,396
run_20260115_222423,openai,gpt-4o-mini,T2_times_bold,0.19444444444444445,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T5_arial_all_caps,0.21717171717171718,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T7_comic,0.15151515151515152,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T6_monospace,0.14393939393939395,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T3_arial_regular,0.1414141414141414,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T2_times_bold,0.1414141414141414,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T4_arial_bold,0.13383838383838384,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,A1_opendyslexic_regular,0.13131313131313133,396
run_20260116_144444,anthropic,claude-sonnet-4-20250514,T1_times_regular,0.13131313131313133,396
run_20260117_164819,google,models/gemini-2.0-flash,T7_comic,0.21717171717171718,396
run_20260117_164819,google,models/gemini-2.0-flash,A1_opendyslexic_regular,0.18434343434343434,396
run_20260117_164819,google,models/gemini-2.0-flash,T2_times_bold,0.1590909090909091,396
run_20260117_164819,google,models/gemini-2.0-flash,T3_arial_regular,0.1590909090909091,396
run_20260117_164819,google,models/gemini-2.0-flash,T4_arial_bold,0.15404040404040403,396
run_20260117_164819,google,models/gemini-2.0-flash,T5_arial_all_caps,0.15404040404040403,396
run_20260117_164819,google,models/gemini-2.0-flash,T1_times_regular,0.15151515151515152,396
run_20260117_164819,google,models/gemini-2.0-flash,T6_monospace,0.14393939393939395,396
run_20260117_164819,google,models/gemini-2.0-flash,T8_small_text,0.13383838383838384,396
